"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","","","2","300"
"102","102","GO102_25_2306","GO102_25_2","1",""
"102","102","GO102_25_2702","GO102_25_2","1",""
"102","102","GO102_25_202_1","GO102_25_2_1","1",""
"102","102","GO102_25_2306","GO102_25_2_1","1",""
"102","102","GO102_25_814","GO102_25_4","1",""
"102","102","GO102_25_1612","GO102_25_4","1",""
"102","102","GO102_25_1524","GO102_25_8","1",""
"102","102","GO102_25_1524_2","GO102_25_8","1",""
"102","102","GO102_25_2724","GO102_25_8","1",""
"102","102","GO102_25_170","GO102_25_18","1",""
"102","102","GO102_25_2064","GO102_25_18","1",""
"102","102","GO102_25_770","GO102_25_22","1",""
"102","102","GO102_25_1064","GO102_25_22","1",""
"102","102","GO102_25_1978","GO102_25_26","1",""
"102","102","GO102_25_2784","GO102_25_26","1",""
"27","27","GO102_25_31","GO102_25_217","1",""
"27","27","GO102_25_196","GO102_25_32","1",""
"27","27","GO102_25_136","GO102_25_36","1",""
"27","27","GO102_25_148","GO102_25_38","1",""
"27","27","GO102_25_168","GO102_25_40","1",""
"27","27","GO102_25_41","GO102_25_133","1",""
"102","102","GO102_25_1660","GO102_25_42","1",""
"102","102","GO102_25_1660_1","GO102_25_42","1",""
"27","27","GO102_25_43","GO102_25_167","1",""
"102","102","GO102_25_272","GO102_25_44","1",""
"27","27","GO102_25_180","GO102_25_46","1",""
"102","102","GO102_25_1986","GO102_25_48","1",""
"102","102","GO102_25_2788","GO102_25_48","1",""
"27","27","GO102_25_120","GO102_25_56","1",""
"27","27","GO102_25_57","GO102_25_229","1",""
"27","27","GO102_25_124","GO102_25_58","1",""
"27","27","GO102_25_59","GO102_25_139","1",""
"27","27","GO102_25_128","GO102_25_60","1",""
"27","27","GO102_25_61","GO102_25_143","1",""
"102","102","GO102_25_716","GO102_25_62","1",""
"102","102","GO102_25_1916","GO102_25_62","1",""
"27","27","GO102_25_63","GO102_25_147","1",""
"27","27","GO102_25_132","GO102_25_64","1",""
"27","27","GO102_25_67","GO102_25_155","1",""
"27","27","GO102_25_144","GO102_25_68","1",""
"27","27","GO102_25_69","GO102_25_163","1",""
"27","27","GO102_25_71","GO102_25_171","1",""
"27","27","GO102_25_73","GO102_25_177","1",""
"27","27","GO102_25_152","GO102_25_74","1",""
"27","27","GO102_25_75","GO102_25_181","1",""
"102","102","GO102_25_162","GO102_25_76","1",""
"102","102","GO102_25_754","GO102_25_76","1",""
"27","27","GO102_25_77","GO102_25_185","1",""
"27","27","GO102_25_164","GO102_25_78","1",""
"102","102","GO102_25_760","GO102_25_80","1",""
"102","102","GO102_25_1970","GO102_25_80","1",""
"27","27","GO102_25_268","GO102_25_82","1",""
"27","27","GO102_25_188","GO102_25_84","1",""
"102","102","GO102_25_102","GO102_25_502","1",""
"102","102","GO102_25_102_1","GO102_25_502","1",""
"102","102","GO102_25_702","GO102_25_502","1",""
"102","102","GO102_25_702_1","GO102_25_502","1",""
"102","102","GO102_25_220","GO102_25_508","1",""
"102","102","GO102_25_1912","GO102_25_508","1",""
"102","102","GO102_25_814","GO102_25_510","1",""
"102","102","GO102_25_2014","GO102_25_510","1",""
"102","102","GO102_25_130","GO102_25_512","1",""
"102","102","GO102_25_1614","GO102_25_512","1",""
"102","102","GO102_25_722","GO102_25_516","1",""
"102","102","GO102_25_722_1","GO102_25_516","1",""
"102","102","GO102_25_1522","GO102_25_516","1",""
"102","102","GO102_25_724","GO102_25_550","1",""
"102","102","GO102_25_724_1","GO102_25_550","1",""
"102","102","GO102_25_1526","GO102_25_550","1",""
"102","102","GO102_25_750","GO102_25_552","1",""
"102","102","GO102_25_750_1","GO102_25_552","1",""
"102","102","GO102_25_1552","GO102_25_552","1",""
"102","102","GO102_25_162","GO102_25_556","1",""
"102","102","GO102_25_1754","GO102_25_556","1",""
"102","102","GO102_25_860","GO102_25_558","1",""
"102","102","GO102_25_1150","GO102_25_558","1",""
"102","102","GO102_25_170","GO102_25_560","1",""
"102","102","GO102_25_2064","GO102_25_560","1",""
"102","102","GO102_25_268","GO102_25_562","1",""
"102","102","GO102_25_1060","GO102_25_562","1",""
"102","102","GO102_25_272","GO102_25_566","1",""
"102","102","GO102_25_876","GO102_25_568","1",""
"102","102","GO102_25_1572","GO102_25_568","1",""
"102","102","GO102_25_882","GO102_25_570","1",""
"102","102","GO102_25_1670","GO102_25_570","1",""
"102","102","GO102_25_784","GO102_25_574","1",""
"102","102","GO102_25_1586","GO102_25_574","1",""
"102","102","GO102_25_1590","GO102_25_576","1",""
"102","102","GO102_25_1590_1","GO102_25_576","1",""
"102","102","GO102_25_2788","GO102_25_576","1",""
"102","102","GO102_25_292","GO102_25_578","1",""
"102","102","GO102_25_1990","GO102_25_578","1",""
"91","91","GO102_25_1594","GO102_25_600","1",""
"102","102","GO102_25_102","GO102_25_604","1",""
"102","102","GO102_25_102_1","GO102_25_604","1",""
"102","102","GO102_25_202_1","GO102_25_604","1",""
"102","102","GO102_25_2702","GO102_25_604","1",""
"91","91","GO102_25_1608","GO102_25_606","1",""
"91","91","GO102_25_607","GO102_25_1509","1",""
"102","102","GO102_25_1914","GO102_25_608","1",""
"102","102","GO102_25_2716","GO102_25_608","1",""
"91","91","GO102_25_1514","GO102_25_610","1",""
"92","92","GO102_25_1918","GO102_25_614","1",""
"91","91","GO102_25_623","GO102_25_1523","1",""
"92","92","GO102_25_625","GO102_25_1527","1",""
"92","92","GO102_25_625","GO102_25_1527_1","1",""
"91","91","GO102_25_629","GO102_25_1535","1",""
"91","91","GO102_25_629","GO102_25_1535_1","1",""
