Express West,Red,,,,,
Run,Lot 40 (Leave),South Campus East,Engineering Dr. Loop,South Campus West,Child Care,Lot 40 (Arrive)
1,7:01,7:03,7:07,7:10,7:12,7:14
2,7:11,7:13,7:17,7:20,7:22,7:24
3,7:21,7:23,7:27,7:30,7:32,7:34
4,7:31,7:33,7:37,7:40,7:42,7:44
5,7:41,7:43,7:47,7:50,7:52,7:54
6,7:51,7:53,7:57,8:00,8:02,8:04
7,8:01,8:03,8:07,8:10,8:12,8:14
8,8:06,8:08,8:12,8:15,8:17,8:19
9,8:11,8:13,8:17,8:20,8:22,8:24
10,8:16,8:18,8:22,8:25,8:27,8:29
11,8:21,8:23,8:27,8:30,8:32,8:34
12,8:26,8:28,8:32,8:35,8:37,8:39
13,8:31,8:33,8:37,8:40,8:42,8:44
14,8:36,8:38,8:42,8:45,8:47,8:49
15,8:41,8:43,8:47,8:50,8:52,8:54
16,8:46,8:48,8:52,8:55,8:57,8:59
17,8:51,8:53,8:57,9:00,9:02,9:04
18,8:56,8:58,9:02,9:05,9:07,9:09
19,9:01,9:03,9:07,9:10,9:12,9:14
20,9:06,9:08,9:12,9:15,9:17,9:19
21,9:11,9:13,9:17,9:20,9:22,9:24
22,9:16,9:18,9:22,9:25,9:27,9:29
23,9:21,9:23,9:27,9:30,9:32,9:34
24,9:26,9:28,9:32,9:35,9:37,9:39
25,9:31,9:33,9:37,9:40,9:42,9:44
26,9:36,9:38,9:42,9:45,9:47,9:49
27,9:41,9:43,9:47,9:50,9:52,9:54
28,9:46,9:48,9:52,9:55,9:57,9:59
29,9:51,9:53,9:57,10:00,10:02,10:04
30,9:56,9:58,10:02,10:05,10:07,10:09
31,10:01,10:03,10:07,10:10,10:12,10:14
32,10:06,10:08,10:12,10:15,10:17,10:19
33,10:11,10:13,10:17,10:20,10:22,10:24
34,10:16,10:18,10:22,10:25,10:27,10:29
35,10:21,10:23,10:27,10:30,10:32,10:34
36,10:26,10:28,10:32,10:35,10:37,10:39
37,10:31,10:33,10:37,10:40,10:42,10:44
38,10:36,10:38,10:42,10:45,10:47,10:49
39,10:41,10:43,10:47,10:50,10:52,10:54
