Railroad,Black,,,,,,
Run,LIRR,Gym Road West,Hamilton,SAC (Leave),Kelly,Gym Road East,Lot 5B
1,7:30,7:31,7:32,7:33,7:34,7:35,7:36
2,7:45,7:46,7:47,7:48,7:49,7:50,7:51
3,8:00,8:01,8:02,8:03,8:04,8:05,8:06
4,8:15,8:16,8:17,8:18,8:19,8:20,8:21
5,8:30,8:31,8:32,8:33,8:34,8:35,8:36
6,8:45,8:46,8:47,8:48,8:49,8:50,8:51
7,9:00,9:01,9:02,9:03,9:04,9:05,9:06
8,9:15,9:16,9:17,9:18,9:19,9:20,9:21
9,9:30,9:31,9:32,9:33,9:34,9:35,9:36
10,9:45,9:46,9:47,9:48,9:49,9:50,9:51
11,10:00,10:01,10:02,10:03,10:04,10:05,10:06
12,10:15,10:16,10:17,10:18,10:19,10:20,10:21
13,10:30,10:31,10:32,10:33,10:34,10:35,10:36
14,10:45,10:46,10:47,10:48,10:49,10:50,10:51
15,11:00,11:01,11:02,11:03,11:04,11:05,11:06
16,11:15,11:16,11:17,11:18,11:19,11:20,11:21
17,11:30,11:31,11:32,11:33,11:34,11:35,11:36
18,11:45,11:46,11:47,11:48,11:49,11:50,11:51
19,12:00,12:01,12:02,12:03,12:04,12:05,12:06
20,12:15,12:16,12:17,12:18,12:19,12:20,12:21
21,12:30,12:31,12:32,12:33,12:34,12:35,12:36
22,12:45,12:46,12:47,12:48,12:49,12:50,12:51
23,13:00,13:01,13:02,13:03,13:04,13:05,13:06
24,13:15,13:16,13:17,13:18,13:19,13:20,13:21
25,13:30,13:31,13:32,13:33,13:34,13:35,13:36
26,13:45,13:46,13:47,13:48,13:49,13:50,13:51
27,14:00,14:01,14:02,14:03,14:04,14:05,14:06
28,14:15,14:16,14:17,14:18,14:19,14:20,14:21
29,14:30,14:31,14:32,14:33,14:34,14:35,14:36
30,14:45,14:46,14:47,14:48,14:49,14:50,14:51
31,15:00,15:01,15:02,15:03,15:04,15:05,15:06
32,15:15,15:16,15:17,15:18,15:19,15:20,15:21
33,15:30,15:31,15:32,15:33,15:34,15:35,15:36
34,15:45,15:46,15:47,15:48,15:49,15:50,15:51
35,16:00,16:01,16:02,16:03,16:04,16:05,16:06
36,16:15,16:16,16:17,16:18,16:19,16:20,16:21
37,16:30,16:31,16:32,16:33,16:34,16:35,16:36
38,16:45,16:46,16:47,16:48,16:49,16:50,16:51
39,17:00,17:01,17:02,17:03,17:04,17:05,17:06
40,17:15,17:16,17:17,17:18,17:19,17:20,17:21
41,17:30,17:31,17:32,17:33,17:34,17:35,17:36
42,17:45,17:46,17:47,17:48,17:49,17:50,17:51
43,18:00,18:01,18:02,18:03,18:04,18:05,18:06
44,18:15,18:16,18:17,18:18,18:19,18:20,18:21
45,18:30,18:31,18:32,18:33,18:34,18:35,18:36
46,18:45,18:46,18:47,18:48,18:49,18:50,18:51
47,19:00,19:01,19:02,19:03,19:04,19:05,19:06
48,19:15,19:16,19:17,19:18,19:19,19:20,19:21
49,19:30,19:31,19:32,19:33,19:34,19:35,19:36
50,19:45,19:46,19:47,19:48,19:49,19:50,19:51
51,20:00,20:01,20:02,20:03,20:04,20:05,20:06
