Shopping Route West,Turquoise,,,,,,,,,,,
Run,Roth/Tabler East,Tabler Steps East,Roosevelt East,Greeley,West E,West G,West C,Nobel,SAC (Leave),Wal-Mart,Target,Stop & Shop
1,10:30,10:31,10:32,10:33,10:34,10:35,10:36,10:37,10:47,11:02,11:15,11:18
2,11:00,11:01,11:02,11:03,11:04,11:05,11:06,11:07,11:17,11:32,11:45,11:48
3,11:30,11:31,11:32,11:33,11:34,11:35,11:36,11:37,11:47,12:02,12:15,12:18
4,12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:17,12:32,12:45,12:48
5,12:30,12:31,12:32,12:33,12:34,12:35,12:36,12:37,12:47,13:02,13:15,13:18
6,13:00,13:01,13:02,13:03,13:04,13:05,13:06,13:07,13:17,13:32,13:45,13:48
7,13:30,13:31,13:32,13:33,13:34,13:35,13:36,13:37,13:47,14:02,14:15,14:18
8,14:00,14:01,14:02,14:03,14:04,14:05,14:06,14:07,14:17,14:32,14:45,14:48
9,14:30,14:31,14:32,14:33,14:34,14:35,14:36,14:37,14:47,15:02,15:15,15:18
10,15:00,15:01,15:02,15:03,15:04,15:05,15:06,15:07,15:17,15:32,15:45,15:48
11,15:30,15:31,15:32,15:33,15:34,15:35,15:36,15:37,15:47,16:02,16:15,16:18
12,16:00,16:01,16:02,16:03,16:04,16:05,16:06,16:07,16:17,16:32,16:45,16:48
13,16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:37,16:47,17:02,17:15,17:18
14,17:00,17:01,17:02,17:03,17:04,17:05,17:06,17:07,17:17,17:32,17:45,17:48
15,17:30,17:31,17:32,17:33,17:34,17:35,17:36,17:37,17:47,18:02,18:15,18:18
