Express East,Blue,,,,,,
Run,Lot 40 (Leave),South Campus East,Life Sciences East,East Side Dining,Life Sciences West,South Campus West,Lot 40 (Arrive)
1,6:00,6:02,6:04,6:06,6:08,6:10,6:12
2,6:10,6:12,6:14,6:16,6:18,6:20,6:22
3,6:20,6:22,6:24,6:26,6:28,6:30,6:32
4,6:30,6:32,6:34,6:36,6:38,6:40,6:42
5,6:40,6:42,6:44,6:46,6:48,6:50,6:52
6,6:50,6:52,6:54,6:56,6:58,7:00,7:02
7,7:00,7:02,7:04,7:06,7:08,7:10,7:12
8,7:10,7:12,7:14,7:16,7:18,7:20,7:22
9,7:20,7:22,7:24,7:26,7:28,7:30,7:32
10,7:30,7:32,7:34,7:36,7:38,7:40,7:42
11,7:40,7:42,7:44,7:46,7:48,7:50,7:52
12,7:50,7:52,7:54,7:56,7:58,8:00,8:02
13,8:00,8:02,8:04,8:06,8:08,8:10,8:12
14,8:05,8:07,8:09,8:11,8:13,8:15,8:17
15,8:10,8:12,8:14,8:16,8:18,8:20,8:22
16,8:15,8:17,8:19,8:21,8:23,8:25,8:27
17,8:20,8:22,8:24,8:26,8:28,8:30,8:32
18,8:25,8:27,8:29,8:31,8:33,8:35,8:37
19,8:30,8:32,8:34,8:36,8:38,8:40,8:42
20,8:35,8:37,8:39,8:41,8:43,8:45,8:47
21,8:40,8:42,8:44,8:46,8:48,8:50,8:52
22,8:45,8:47,8:49,8:51,8:53,8:55,8:57
23,8:50,8:52,8:54,8:56,8:58,9:00,9:02
24,8:55,8:57,8:59,9:01,9:03,9:05,9:07
25,9:00,9:02,9:04,9:06,9:08,9:10,9:12
26,9:05,9:07,9:09,9:11,9:13,9:15,9:17
27,9:10,9:12,9:14,9:16,9:18,9:20,9:22
28,9:15,9:17,9:19,9:21,9:23,9:25,9:27
29,9:20,9:22,9:24,9:26,9:28,9:30,9:32
30,9:25,9:27,9:29,9:31,9:33,9:35,9:37
31,9:30,9:32,9:34,9:36,9:38,9:40,9:42
32,9:35,9:37,9:39,9:41,9:43,9:45,9:47
33,9:40,9:42,9:44,9:46,9:48,9:50,9:52
34,9:45,9:47,9:49,9:51,9:53,9:55,9:57
35,9:50,9:52,9:54,9:56,9:58,10:00,10:02
36,9:55,9:57,9:59,10:01,10:03,10:05,10:07
37,10:00,10:02,10:04,10:06,10:08,10:10,10:12
38,10:05,10:07,10:09,10:11,10:13,10:15,10:17
39,10:10,10:12,10:14,10:16,10:18,10:20,10:22
40,10:15,10:17,10:19,10:21,10:23,10:25,10:27
41,10:20,10:22,10:24,10:26,10:28,10:30,10:32
42,10:25,10:27,10:29,10:31,10:33,10:35,10:37
43,10:30,10:32,10:34,10:36,10:38,10:40,10:42
44,10:35,10:37,10:39,10:41,10:43,10:45,10:47
45,10:40,10:42,10:44,10:46,10:48,10:50,10:52
46,10:45,10:47,10:49,10:51,10:53,10:55,10:57
47,10:50,10:52,10:54,10:56,10:58,11:00,11:02
48,10:55,10:57,10:59,11:01,11:03,11:05,11:07
49,11:00,11:02,11:04,11:06,11:08,11:10,11:12
50,11:05,11:07,11:09,11:11,11:13,11:15,11:17
51,11:10,11:12,11:14,11:16,11:18,11:20,11:22
52,11:15,11:17,11:19,11:21,11:23,11:25,11:27
53,11:20,11:22,11:24,11:26,11:28,11:30,11:32
54,11:25,11:27,11:29,11:31,11:33,11:35,11:37
55,11:30,11:32,11:34,11:36,11:38,11:40,11:42
56,11:35,11:37,11:39,11:41,11:43,11:45,11:47
57,11:40,11:42,11:44,11:46,11:48,11:50,11:52
58,11:45,11:47,11:49,11:51,11:53,11:55,11:57
59,11:50,11:52,11:54,11:56,11:58,12:00,12:02
60,11:55,11:57,11:59,12:01,12:03,12:05,12:07
61,12:00,12:02,12:04,12:06,12:08,12:10,12:12
62,12:05,12:07,12:09,12:11,12:13,12:15,12:17
63,12:10,12:12,12:14,12:16,12:18,12:20,12:22
64,12:15,12:17,12:19,12:21,12:23,12:25,12:27
65,12:20,12:22,12:24,12:26,12:28,12:30,12:32
66,12:25,12:27,12:29,12:31,12:33,12:35,12:37
67,12:30,12:32,12:34,12:36,12:38,12:40,12:42
68,12:35,12:37,12:39,12:41,12:43,12:45,12:47
69,12:40,12:42,12:44,12:46,12:48,12:50,12:52
70,12:45,12:47,12:49,12:51,12:53,12:55,12:57
71,12:50,12:52,12:54,12:56,12:58,13:00,13:02
72,12:55,12:57,12:59,13:01,13:03,13:05,13:07
73,13:00,13:02,13:04,13:06,13:08,13:10,13:12
74,13:05,13:07,13:09,13:11,13:13,13:15,13:17
75,13:10,13:12,13:14,13:16,13:18,13:20,13:22
76,13:15,13:17,13:19,13:21,13:23,13:25,13:27
77,13:20,13:22,13:24,13:26,13:28,13:30,13:32
78,13:25,13:27,13:29,13:31,13:33,13:35,13:37
79,13:30,13:32,13:34,13:36,13:38,13:40,13:42
80,13:35,13:37,13:39,13:41,13:43,13:45,13:47
81,13:40,13:42,13:44,13:46,13:48,13:50,13:52
82,13:45,13:47,13:49,13:51,13:53,13:55,13:57
83,13:50,13:52,13:54,13:56,13:58,14:00,14:02
84,13:55,13:57,13:59,14:01,14:03,14:05,14:07
85,14:00,14:02,14:04,14:06,14:08,14:10,14:12
86,14:05,14:07,14:09,14:11,14:13,14:15,14:17
87,14:10,14:12,14:14,14:16,14:18,14:20,14:22
88,14:15,14:17,14:19,14:21,14:23,14:25,14:27
89,14:20,14:22,14:24,14:26,14:28,14:30,14:32
90,14:25,14:27,14:29,14:31,14:33,14:35,14:37
91,14:30,14:32,14:34,14:36,14:38,14:40,14:42
92,14:35,14:37,14:39,14:41,14:43,14:45,14:47
