Hospital/Chapin,Purple,,,,,,,,,,,,,,,
Run,SAC (Leave),Roosevelt West,Tabler Steps West,Roth/Tabler West,South Campus West,Child Care,Lot 40,Chapin,Point of Woods,Administration,Life Sciences West,Roth/Tabler East,Tabler Steps East,Roosevelt East,Circle Road,SAC (Arrive)
1,7:00,7:02,7:03,7:04,7:05,7:07,7:09,7:13,7:14,7:16,7:17,7:18,7:19,7:20,7:21,7:22
2,7:15,7:17,7:18,7:19,7:20,7:22,7:24,7:28,7:29,7:31,7:32,7:33,7:34,7:35,7:36,7:37
3,7:30,7:32,7:33,7:34,7:35,7:37,7:39,7:43,7:44,7:46,7:47,7:48,7:49,7:50,7:51,7:52
4,7:45,7:47,7:48,7:49,7:50,7:52,7:54,7:58,7:59,8:01,8:02,8:03,8:04,8:05,8:06,8:07
5,8:00,8:02,8:03,8:04,8:05,8:07,8:09,8:13,8:14,8:16,8:17,8:18,8:19,8:20,8:21,8:22
6,8:15,8:17,8:18,8:19,8:20,8:22,8:24,8:28,8:29,8:31,8:32,8:33,8:34,8:35,8:36,8:37
7,8:30,8:32,8:33,8:34,8:35,8:37,8:39,8:43,8:44,8:46,8:47,8:48,8:49,8:50,8:51,8:52
8,8:45,8:47,8:48,8:49,8:50,8:52,8:54,8:58,8:59,9:01,9:02,9:03,9:04,9:05,9:06,9:07
9,9:00,9:02,9:03,9:04,9:05,9:07,9:09,9:13,9:14,9:16,9:17,9:18,9:19,9:20,9:21,9:22
10,9:15,9:17,9:18,9:19,9:20,9:22,9:24,9:28,9:29,9:31,9:32,9:33,9:34,9:35,9:36,9:37
11,9:30,9:32,9:33,9:34,9:35,9:37,9:39,9:43,9:44,9:46,9:47,9:48,9:49,9:50,9:51,9:52
12,9:45,9:47,9:48,9:49,9:50,9:52,9:54,9:58,9:59,10:01,10:02,10:03,10:04,10:05,10:06,10:07
13,10:00,10:02,10:03,10:04,10:05,10:07,10:09,10:13,10:14,10:16,10:17,10:18,10:19,10:20,10:21,10:22
14,10:15,10:17,10:18,10:19,10:20,10:22,10:24,10:28,10:29,10:31,10:32,10:33,10:34,10:35,10:36,10:37
15,10:30,10:32,10:33,10:34,10:35,10:37,10:39,10:43,10:44,10:46,10:47,10:48,10:49,10:50,10:51,10:52
16,10:45,10:47,10:48,10:49,10:50,10:52,10:54,10:58,10:59,11:01,11:02,11:03,11:04,11:05,11:06,11:07
17,11:00,11:02,11:03,11:04,11:05,11:07,11:09,11:13,11:14,11:16,11:17,11:18,11:19,11:20,11:21,11:22
18,11:15,11:17,11:18,11:19,11:20,11:22,11:24,11:28,11:29,11:31,11:32,11:33,11:34,11:35,11:36,11:37
19,11:30,11:32,11:33,11:34,11:35,11:37,11:39,11:43,11:44,11:46,11:47,11:48,11:49,11:50,11:51,11:52
20,11:45,11:47,11:48,11:49,11:50,11:52,11:54,11:58,11:59,12:01,12:02,12:03,12:04,12:05,12:06,12:07
21,12:00,12:02,12:03,12:04,12:05,12:07,12:09,12:13,12:14,12:16,12:17,12:18,12:19,12:20,12:21,12:22
22,12:15,12:17,12:18,12:19,12:20,12:22,12:24,12:28,12:29,12:31,12:32,12:33,12:34,12:35,12:36,12:37
23,12:30,12:32,12:33,12:34,12:35,12:37,12:39,12:43,12:44,12:46,12:47,12:48,12:49,12:50,12:51,12:52
24,12:45,12:47,12:48,12:49,12:50,12:52,12:54,12:58,12:59,13:01,13:02,13:03,13:04,13:05,13:06,13:07
25,13:00,13:02,13:03,13:04,13:05,13:07,13:09,13:13,13:14,13:16,13:17,13:18,13:19,13:20,13:21,13:22
26,13:15,13:17,13:18,13:19,13:20,13:22,13:24,13:28,13:29,13:31,13:32,13:33,13:34,13:35,13:36,13:37
27,13:30,13:32,13:33,13:34,13:35,13:37,13:39,13:43,13:44,13:46,13:47,13:48,13:49,13:50,13:51,13:52
28,13:45,13:47,13:48,13:49,13:50,13:52,13:54,13:58,13:59,14:01,14:02,14:03,14:04,14:05,14:06,14:07
29,14:00,14:02,14:03,14:04,14:05,14:07,14:09,14:13,14:14,14:16,14:17,14:18,14:19,14:20,14:21,14:22
30,14:15,14:17,14:18,14:19,14:20,14:22,14:24,14:28,14:29,14:31,14:32,14:33,14:34,14:35,14:36,14:37
31,14:30,14:32,14:33,14:34,14:35,14:37,14:39,14:43,14:44,14:46,14:47,14:48,14:49,14:50,14:51,14:52
32,14:45,14:47,14:48,14:49,14:50,14:52,14:54,14:58,14:59,15:01,15:02,15:03,15:04,15:05,15:06,15:07
33,15:00,15:02,15:03,15:04,15:05,15:07,15:09,15:13,15:14,15:16,15:17,15:18,15:19,15:20,15:21,15:22
34,15:15,15:17,15:18,15:19,15:20,15:22,15:24,15:28,15:29,15:31,15:32,15:33,15:34,15:35,15:36,15:37
35,15:30,15:32,15:33,15:34,15:35,15:37,15:39,15:43,15:44,15:46,15:47,15:48,15:49,15:50,15:51,15:52
36,15:45,15:47,15:48,15:49,15:50,15:52,15:54,15:58,15:59,16:01,16:02,16:03,16:04,16:05,16:06,16:07
37,16:00,16:02,16:03,16:04,16:05,16:07,16:09,16:13,16:14,16:16,16:17,16:18,16:19,16:20,16:21,16:22
38,16:15,16:17,16:18,16:19,16:20,16:22,16:24,16:28,16:29,16:31,16:32,16:33,16:34,16:35,16:36,16:37
