Outer Loop,Green,,,,,,,,,,,,,,,,,
Run,SAC (Leave),Kelly,Gym Road East,Lot 5B,LIRR,Mendelsohn,H-Quad,Administration,Life Sciences West,Roth/Tabler East,Tabler Steps East,Roosevelt East,Greeley,West E,West G,West C,Nobel,SAC (Arrive)
1,7:00,7:01,7:03,7:04,7:05,7:08,7:10,7:11,7:12,7:13,7:14,7:15,7:16,7:17,7:18,7:19,7:20,7:21
2,7:15,7:16,7:18,7:19,7:20,7:23,7:25,7:26,7:27,7:28,7:29,7:30,7:31,7:32,7:33,7:34,7:35,7:36
3,7:30,7:31,7:33,7:34,7:35,7:38,7:40,7:41,7:42,7:43,7:44,7:45,7:46,7:47,7:48,7:49,7:50,7:51
4,7:45,7:46,7:48,7:49,7:50,7:53,7:55,7:56,7:57,7:58,7:59,8:00,8:01,8:02,8:03,8:04,8:05,8:06
5,8:00,8:01,8:03,8:04,8:05,8:08,8:10,8:11,8:12,8:13,8:14,8:15,8:16,8:17,8:18,8:19,8:20,8:21
6,8:15,8:16,8:18,8:19,8:20,8:23,8:25,8:26,8:27,8:28,8:29,8:30,8:31,8:32,8:33,8:34,8:35,8:36
7,8:30,8:31,8:33,8:34,8:35,8:38,8:40,8:41,8:42,8:43,8:44,8:45,8:46,8:47,8:48,8:49,8:50,8:51
8,8:45,8:46,8:48,8:49,8:50,8:53,8:55,8:56,8:57,8:58,8:59,9:00,9:01,9:02,9:03,9:04,9:05,9:06
9,9:00,9:01,9:03,9:04,9:05,9:08,9:10,9:11,9:12,9:13,9:14,9:15,9:16,9:17,9:18,9:19,9:20,9:21
10,9:15,9:16,9:18,9:19,9:20,9:23,9:25,9:26,9:27,9:28,9:29,9:30,9:31,9:32,9:33,9:34,9:35,9:36
11,9:30,9:31,9:33,9:34,9:35,9:38,9:40,9:41,9:42,9:43,9:44,9:45,9:46,9:47,9:48,9:49,9:50,9:51
12,9:45,9:46,9:48,9:49,9:50,9:53,9:55,9:56,9:57,9:58,9:59,10:00,10:01,10:02,10:03,10:04,10:05,10:06
13,10:00,10:01,10:03,10:04,10:05,10:08,10:10,10:11,10:12,10:13,10:14,10:15,10:16,10:17,10:18,10:19,10:20,10:21
14,10:15,10:16,10:18,10:19,10:20,10:23,10:25,10:26,10:27,10:28,10:29,10:30,10:31,10:32,10:33,10:34,10:35,10:36
15,10:30,10:31,10:33,10:34,10:35,10:38,10:40,10:41,10:42,10:43,10:44,10:45,10:46,10:47,10:48,10:49,10:50,10:51
16,10:45,10:46,10:48,10:49,10:50,10:53,10:55,10:56,10:57,10:58,10:59,11:00,11:01,11:02,11:03,11:04,11:05,11:06
