Stop,Longitude,Latitude
SAC (Leave),40.91417,-73.124942
Lot 13,40.913628,-73.128476
Roosevelt West,40.912052,-73.128018
Greeley,40.911119,-73.131312
West E,40.911758,-73.134436
West G,40.913011,-73.135994
West C,40.912474,-73.133332
Nobel,40.913036,-73.129538
SAC (Arrive),40.91417,-73.124942
Kelly,40.913395,-73.129172
Gym Road East,40.918061,-73.12945
Lot 5B,40.922847,-73.125877
LIRR,40.921363,-73.127455
Mendelsohn,40.919064,-73.121211
H-Quad,40.917538,-73.11808
Administration,40.914145,-73.11918
Life Sciences West,40.910948,-73.119101
Roth/Tabler East,40.910342,-73.124175
Tabler Steps East,40.910988,-73.125987
Roosevelt East,40.911875,-73.127667
Tabler Steps West,40.911121,-73.126441
Roth/Tabler West,40.910426,-73.124603
South Campus West,40.90477,-73.121693
Child Care,40.898179,-73.128085
Lot 40,40.896686,-73.1266
Chapin,40.908361,-73.11166
Point of Woods,40.914014,-73.115162
Circle Road,40.913052,-73.129104
Lot 40 (Leave),40.896686,-73.1266
South Campus East,40.904474,-73.121569
Life Sciences East,40.910987,-73.118982
East Side Dining,40.916725,-73.121341
Lot 40 (Arrive),40.896686,-73.1266
Engineering Dr. Loop,40.913464,-73.124117
Gym Road West,40.918017,-73.129553
Hamilton,40.913654,-73.129779
CEWIT,40.902041,-73.133623
AERTC,40.903728,-73.134848
RSS,40.895255,-73.142815
Stop & Shop (E Setuaket),40.939178,-73.108923
Port Jeff Village,40.948832,-73.067686
Stop & Shop,40.882618,-73.104057
Wal-Mart,40.862739,-73.082454
Target,40.885852,-73.099744
